Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
EL 2329|Аэробус-A330|253|Мурманск|Мурманск|Брянск|Брянск|04.11.2020 1:35:00|04.11.2020 5:10:00|
CZ 9700|Ту-204|84|Нижний Новгород|Стригино|Казань|Казань|04.11.2020 18:51:00|04.11.2020 20:31:00|
WB 8573|Боинг-767|129|Саранск|Саранск|Ставрополь|Шпаковское|04.11.2020 17:22:00|04.11.2020 19:11:00|
EV 5032|Боинг-737|74|Нижнекамск|Бегишево|Братск|Братск|04.11.2020 16:42:00|04.11.2020 18:23:00|
UU 4545|ИЛ-96-300|97|Чита|Кадала|Томск|Богашёво|04.11.2020 13:57:00|04.11.2020 16:26:00|
LL 3192|ИЛ-96|164|Элиста|Элиста|Калуга|Грабцево|04.11.2020 15:27:00|04.11.2020 19:51:00|
FW 6581|Боинг-737|79|Братск|Братск|Псков|Кресты|04.11.2020 19:08:00|04.11.2020 21:21:00|
YV 1109|Ту-154 |48|Новосибирск|Толмачёво|Барнаул|Барнаул|04.11.2020 3:22:00|04.11.2020 4:54:00|
SI 3298|Ту-154 |114|Анапа|Витязево|Москва|Домодедово|04.11.2020 10:23:00|04.11.2020 15:20:00|
ST 8605|Боинг-777|178|Анадырь|Угольный|Новосибирск|Толмачёво|04.11.2020 18:47:00|04.11.2020 20:37:00|
LP 8995|Ту-204|166|Курумоч|Курумоч|Нижнекамск|Бегишево|04.11.2020 6:49:00|04.11.2020 10:27:00|
NQ 7146|Боинг-737|39|Нижнекамск|Бегишево|Череповец|Череповец|04.11.2020 4:55:00|04.11.2020 9:54:00|
JP 4475|ИЛ-96-300|218|Владикавказ|Беслан|Сочи|Адлер|04.11.2020 18:03:00|04.11.2020 20:46:00|
NY 3765|Боинг-737|66|Орск|Орск|Южно - Сахалинск|Хомутово|04.11.2020 22:50:00|05.11.2020 0:09:00|
EQ 1246|Ту-134|95|Хабаровск|Хабаровск-Новый|Томск|Богашёво|04.11.2020 4:15:00|04.11.2020 8:13:00|
ZO 8829|Ту-154 |49|Саратов|Гагарин|Оренбург|Оренбург-Центральный|04.11.2020 18:45:00|04.11.2020 20:51:00|
KR 5045|Аэробус-A310|142|Москва|Домодедово|Мурманск|Мурманск|04.11.2020 14:57:00|04.11.2020 17:12:00|
RQ 4040|ИЛ-96-300|245|Томск|Богашёво|Москва|Жуковский|04.11.2020 12:46:00|04.11.2020 16:33:00|
QL 0343|ИЛ-96-300|108|Якутск|Якутск|Челябинск|Баландино|04.11.2020 9:48:00|04.11.2020 12:21:00|
KK 0382|Боинг-747|288|Тюмень|Рощино|Брянск|Брянск|04.11.2020 14:40:00|04.11.2020 16:16:00|
KI 3870|ИЛ-62|158|Нижний Новгород|Стригино|Уфа|Уфа|04.11.2020 14:03:00|04.11.2020 15:03:00|
YF 1100|Сc-100|30|Москва|Внуково|Томск|Богашёво|04.11.2020 20:30:00|04.11.2020 23:44:00|
YB 7164|Аэробус-A330|227|Саранск|Саранск|Волгоград|Гумрак|04.11.2020 18:07:00|04.11.2020 19:57:00|
OF 6184|ИЛ-62|180|Астрахань|Нариманово|Магадан|Сокол|04.11.2020 19:40:00|04.11.2020 20:45:00|
GS 1245|ИЛ-86|124|Ульяновск|Баратаевка|Майкоп|Майкоп|04.11.2020 23:18:00|05.11.2020 1:19:00|
TP 6533|Ту-134|87|Курумоч|Курумоч|Саратов|Гагарин|04.11.2020 8:14:00|04.11.2020 13:13:00|
AU 6159|ИЛ-96М|309|Чебоксары|Чебоксары|Кемерово|Кемерово|04.11.2020 4:28:00|04.11.2020 8:13:00|
UZ 0417|Боинг-747|203|Краснодар|Пашковский|Чебоксары|Чебоксары|04.11.2020 4:32:00|04.11.2020 5:35:00|
SJ 1877|Ту-134|61|Брянск|Брянск|Братск|Братск|04.11.2020 10:40:00|04.11.2020 14:53:00|
QX 6205|Ту-134|72|Братск|Братск|Калуга|Грабцево|04.11.2020 19:12:00|04.11.2020 22:31:00|
JA 4135|Аэробус-A320|178|Новокузнецк|Спиченково|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 10:01:00|04.11.2020 13:19:00|
PS 2166|Боинг-747|158|Курумоч|Курумоч|Барнаул|Барнаул|04.11.2020 21:01:00|05.11.2020 1:20:00|
KF 3333|Аэробус-A320|99|Волгоград|Гумрак|Провидения|Бухта Провидения|04.11.2020 0:00:00|04.11.2020 4:01:00|
NW 2492|Сc-100|63|Владивосток|Кневичи|Пермь|Большое Савино|04.11.2020 10:57:00|04.11.2020 14:21:00|
TP 2935|Ту-154 |104|Ульяновск|Баратаевка|Брянск|Брянск|04.11.2020 4:11:00|04.11.2020 7:13:00|
EP 4281|Ту-204|199|Самара|Самара|Сургут|Сургут|04.11.2020 1:11:00|04.11.2020 2:49:00|
JX 3599|ИЛ-86|264|Владивосток|Кневичи|Краснодар|Пашковский|04.11.2020 20:14:00|04.11.2020 22:26:00|
SN 2090|ИЛ-62|113|Братск|Братск|Уфа|Уфа|04.11.2020 0:56:00|04.11.2020 4:57:00|
UC 6551|Аэробус-A330|181|Череповец|Череповец|Кемерово|Кемерово|04.11.2020 4:19:00|04.11.2020 6:07:00|
UC 7905|Боинг-777|157|Симферополь|Симферополь|Грозный|Северный|04.11.2020 15:34:00|04.11.2020 20:01:00|
QB 7592|Аэробус-A310|76|Курумоч|Курумоч|Новокузнецк|Спиченково|04.11.2020 1:37:00|04.11.2020 5:23:00|
LF 1560|Боинг-737|91|Тюмень|Рощино|Нальчик|Нальчик|04.11.2020 15:08:00|04.11.2020 19:19:00|
SM 2560|Боинг-777|190|Владивосток|Кневичи|Улан - Удэ|Мухино|04.11.2020 9:23:00|04.11.2020 11:43:00|
BZ 0536|ИЛ-86|176|Ханты - Мансийск|Ханты - Мансийск|Мурманск|Мурманск|04.11.2020 9:13:00|04.11.2020 12:23:00|
HX 1241|ИЛ-96|71|Ульяновск|Баратаевка|Петропавловск - Камчатский|Елизово|04.11.2020 22:11:00|05.11.2020 2:45:00|
QK 9567|Ту-204|112|Владикавказ|Беслан|Анадырь|Угольный|04.11.2020 16:14:00|04.11.2020 17:54:00|
MC 4558|ИЛ-62|71|Москва|Домодедово|Варандей|Варандей|04.11.2020 13:56:00|04.11.2020 16:33:00|
IM 1010|ИЛ-96|105|Провидения|Бухта Провидения|Ростов - на - Дону|Платов|04.11.2020 9:20:00|04.11.2020 13:30:00|
JE 2474|Боинг-777|112|Варандей|Варандей|Орск|Орск|04.11.2020 17:17:00|04.11.2020 18:45:00|
EB 8653|Аэробус-A310|88|Нальчик|Нальчик|Варандей|Варандей|04.11.2020 3:07:00|04.11.2020 7:40:00|
HV 7310|Сc-100|77|Екатеринбург|Кольцово|Грозный|Северный|04.11.2020 20:59:00|04.11.2020 23:23:00|
EM 1144|Боинг-737|35|Ярославль|Туношна|Нальчик|Нальчик|04.11.2020 14:01:00|04.11.2020 15:25:00|
QL 5190|ИЛ-86|291|Хабаровск|Хабаровск-Новый|Благовещенск|Игнатьево|04.11.2020 11:46:00|04.11.2020 14:26:00|
LW 4879|Аэробус-A310|80|Калуга|Грабцево|Псков|Кресты|04.11.2020 2:19:00|04.11.2020 6:10:00|
JP 8531|ИЛ-86|106|Южно - Сахалинск|Хомутово|Нижний Новгород|Стригино|04.11.2020 4:02:00|04.11.2020 6:01:00|
XK 4286|ИЛ-96|180|Ставрополь|Шпаковское|Санкт - Петербург|Пулково|04.11.2020 14:06:00|04.11.2020 18:12:00|
KA 9704|Боинг-747|138|Москва|Шереметьево|Южно - Сахалинск|Хомутово|04.11.2020 0:17:00|04.11.2020 4:05:00|
OS 3752|Боинг-747|184|Владикавказ|Беслан|Элиста|Элиста|04.11.2020 17:01:00|04.11.2020 21:01:00|
DN 7862|ИЛ-96-300|191|Нальчик|Нальчик|Чита|Кадала|04.11.2020 3:11:00|04.11.2020 5:52:00|
XY 0364|Боинг-777|99|Курган|Курган|Элиста|Элиста|04.11.2020 15:02:00|04.11.2020 16:36:00|
PU 3541|Аэробус-A330|233|Элиста|Элиста|Хабаровск|Хабаровск-Новый|04.11.2020 12:33:00|04.11.2020 14:45:00|
ZX 0842|ИЛ-96М|169|Мурманск|Мурманск|Провидения|Бухта Провидения|04.11.2020 10:49:00|04.11.2020 12:52:00|
OE 5100|Боинг-747|197|Ханты - Мансийск|Ханты - Мансийск|Иркутск|Иркутск|04.11.2020 6:57:00|04.11.2020 9:57:00|
MS 0834|Боинг-737|65|Самара|Самара|Владивосток|Кневичи|04.11.2020 2:26:00|04.11.2020 5:17:00|
AF 0968|Аэробус-A330|186|Ульяновск|Восточный|Сабетта|Сабетта|04.11.2020 18:47:00|04.11.2020 23:17:00|
SL 7858|Боинг-767|249|Казань|Казань|Белгород|Белгород|04.11.2020 0:38:00|04.11.2020 2:46:00|
NW 8694|Аэробус-A330|296|Сабетта|Сабетта|Магадан|Сокол|04.11.2020 12:57:00|04.11.2020 16:17:00|
AU 3173|Ту-134|59|Астрахань|Нариманово|Архангельск|Талаги|04.11.2020 14:48:00|04.11.2020 18:02:00|
IF 4149|ИЛ-62|107|Челябинск|Баландино|Провидения|Бухта Провидения|04.11.2020 7:13:00|04.11.2020 11:08:00|
IE 3732|Боинг-767|251|Махачкала|Уйташ|Ростов - на - Дону|Платов|04.11.2020 15:05:00|04.11.2020 17:15:00|
KJ 8802|Боинг-747|167|Грозный|Северный|Волгоград|Гумрак|04.11.2020 1:28:00|04.11.2020 6:09:00|
FK 2460|Боинг-767|86|Барнаул|Барнаул|Череповец|Череповец|04.11.2020 2:17:00|04.11.2020 5:59:00|
OB 5988|Ту-154 |61|Краснодар|Пашковский|Сабетта|Сабетта|04.11.2020 12:01:00|04.11.2020 15:29:00|
WA 3092|ИЛ-62|121|Сочи|Адлер|Иркутск|Иркутск|04.11.2020 18:53:00|04.11.2020 19:58:00|
JT 2667|Аэробус-A310|98|Чита|Кадала|Чебоксары|Чебоксары|04.11.2020 19:17:00|04.11.2020 21:24:00|
UP 7207|ИЛ-96-300|80|Якутск|Якутск|Новокузнецк|Спиченково|04.11.2020 16:59:00|04.11.2020 21:58:00|
CM 2567|Ту-134|86|Воронеж|Чертовицкое|Челябинск|Баландино|04.11.2020 21:39:00|05.11.2020 2:33:00|
CA 2045|Боинг-737|85|Астрахань|Нариманово|Череповец|Череповец|04.11.2020 15:31:00|04.11.2020 17:21:00|
WS 0665|Аэробус-A320|203|Хабаровск|Хабаровск-Новый|Провидения|Бухта Провидения|04.11.2020 2:22:00|04.11.2020 4:14:00|
QI 4049|Аэробус-A310|58|Ханты - Мансийск|Ханты - Мансийск|Астрахань|Нариманово|04.11.2020 17:52:00|04.11.2020 19:01:00|
TY 3705|Ту-134|61|Симферополь|Симферополь|Орск|Орск|04.11.2020 20:31:00|04.11.2020 22:31:00|
PQ 2971|Аэробус-A330|213|Нижний Новгород|Стригино|Нижнекамск|Бегишево|04.11.2020 5:00:00|04.11.2020 7:51:00|
ZN 1132|Боинг-737|83|Магнитогорск|Магнитогорск|Москва|Домодедово|04.11.2020 8:06:00|04.11.2020 11:21:00|
FO 7275|ИЛ-96М|193|Омск|Омск-Центральный|Новосибирск|Толмачёво|04.11.2020 17:57:00|04.11.2020 20:01:00|
GT 7671|Боинг-737|81|Улан - Удэ|Мухино|Благовещенск|Игнатьево|04.11.2020 7:34:00|04.11.2020 9:24:00|
GZ 6969|Боинг-747|134|Провидения|Бухта Провидения|Минеральные Воды|Минеральные Воды|04.11.2020 12:13:00|04.11.2020 16:25:00|
KD 2144|Сc-100|35|Саратов|Гагарин|Петропавловск - Камчатский|Елизово|04.11.2020 20:42:00|05.11.2020 0:33:00|
YO 9724|Аэробус-A330|283|Ярославль|Туношна|Ставрополь|Шпаковское|04.11.2020 13:33:00|04.11.2020 18:12:00|
XR 0972|ИЛ-96|168|Мурманск|Мурманск|Красноярск|Емельяново|04.11.2020 8:38:00|04.11.2020 12:19:00|
VA 1817|ИЛ-62|183|Саранск|Саранск|Нижнекамск|Бегишево|04.11.2020 6:55:00|04.11.2020 8:32:00|
EF 3676|Аэробус-A320|169|Провидения|Бухта Провидения|Астрахань|Нариманово|04.11.2020 1:47:00|04.11.2020 6:10:00|
HI 8706|Ту-154 |109|Оренбург|Оренбург-Центральный|Курган|Курган|04.11.2020 9:09:00|04.11.2020 12:39:00|
XU 0068|Ту-134|69|Владивосток|Кневичи|Чебоксары|Чебоксары|04.11.2020 14:47:00|04.11.2020 18:06:00|
KM 1230|Ту-134|48|Волгоград|Гумрак|Анадырь|Угольный|04.11.2020 2:57:00|04.11.2020 5:48:00|
JV 5529|ИЛ-96М|155|Хабаровск|Хабаровск-Новый|Махачкала|Уйташ|04.11.2020 11:32:00|04.11.2020 14:16:00|
UX 2432|Боинг-777|145|Южно - Сахалинск|Хомутово|Белгород|Белгород|04.11.2020 9:18:00|04.11.2020 14:15:00|
OE 3629|Ту-204|88|Воронеж|Чертовицкое|Владивосток|Кневичи|04.11.2020 0:35:00|04.11.2020 4:23:00|
KU 4766|Аэробус-A330|405|Тюмень|Рощино|Калуга|Грабцево|04.11.2020 1:41:00|04.11.2020 5:19:00|
VM 0671|Сc-100|43|Петрозаводск|Петрозаводск|Москва|Домодедово|04.11.2020 17:14:00|04.11.2020 18:47:00|
GA 2062|Боинг-747|226|Новосибирск|Толмачёво|Саранск|Саранск|04.11.2020 23:10:00|05.11.2020 2:02:00|
LH 1582|Боинг-767|178|Астрахань|Нариманово|Владивосток|Кневичи|04.11.2020 3:31:00|04.11.2020 6:01:00|
CP 4087|ИЛ-96М|273|Брянск|Брянск|Красноярск|Емельяново|04.11.2020 14:44:00|04.11.2020 18:11:00|
CC 0320|ИЛ-96-300|134|Нальчик|Нальчик|Псков|Кресты|04.11.2020 2:05:00|04.11.2020 5:22:00|
DO 5521|ИЛ-96М|210|Минеральные Воды|Минеральные Воды|Нижний Новгород|Стригино|04.11.2020 4:28:00|04.11.2020 8:55:00|
YJ 9524|Боинг-737|52|Москва|Шереметьево|Братск|Братск|04.11.2020 13:43:00|04.11.2020 18:13:00|
EW 0373|Боинг-777|114|Краснодар|Пашковский|Казань|Казань|04.11.2020 21:37:00|04.11.2020 22:47:00|
DY 3438|Боинг-747|173|Улан - Удэ|Мухино|Курган|Курган|04.11.2020 21:20:00|05.11.2020 0:50:00|
OP 0297|ИЛ-96|56|Нижневартовск|Нижневартовск|Грозный|Северный|04.11.2020 0:47:00|04.11.2020 4:59:00|
FH 9409|Сc-100|97|Оренбург|Оренбург-Центральный|Хабаровск|Хабаровск-Новый|04.11.2020 0:47:00|04.11.2020 4:45:00|
VD 2274|ИЛ-86|257|Псков|Кресты|Череповец|Череповец|04.11.2020 6:01:00|04.11.2020 10:44:00|
CK 4713|ИЛ-96М|139|Магадан|Сокол|Томск|Богашёво|04.11.2020 21:25:00|04.11.2020 23:19:00|
BE 6749|ИЛ-96|83|Чебоксары|Чебоксары|Симферополь|Симферополь|04.11.2020 6:25:00|04.11.2020 9:40:00|
AW 8663|Ту-204|83|Пермь|Большое Савино|Новокузнецк|Спиченково|04.11.2020 20:42:00|05.11.2020 0:08:00|
UL 5638|ИЛ-96М|305|Кемерово|Кемерово|Брянск|Брянск|04.11.2020 21:27:00|04.11.2020 23:32:00|
JL 9774|Аэробус-A330|388|Братск|Братск|Южно - Сахалинск|Хомутово|04.11.2020 11:08:00|04.11.2020 13:08:00|
QW 7508|Боинг-737|65|Владивосток|Кневичи|Новокузнецк|Спиченково|04.11.2020 9:14:00|04.11.2020 11:45:00|
SB 9199|Сc-100|55|Ставрополь|Шпаковское|Москва|Шереметьево|04.11.2020 4:50:00|04.11.2020 9:03:00|
AM 7170|ИЛ-96М|164|Ставрополь|Шпаковское|Мурманск|Мурманск|04.11.2020 19:46:00|04.11.2020 20:49:00|
ML 8415|ИЛ-96М|234|Ярославль|Туношна|Ульяновск|Баратаевка|04.11.2020 20:57:00|04.11.2020 22:04:00|
FB 8265|Аэробус-A320|131|Нижневартовск|Нижневартовск|Ставрополь|Шпаковское|04.11.2020 14:58:00|04.11.2020 19:06:00|
OL 2641|ИЛ-96|171|Ярославль|Туношна|Нижний Новгород|Стригино|04.11.2020 11:17:00|04.11.2020 13:24:00|
JO 4419|Сc-100|77|Новосибирск|Толмачёво|Петрозаводск|Петрозаводск|04.11.2020 5:29:00|04.11.2020 9:49:00|
YE 7592|ИЛ-96-300|150|Казань|Казань|Сыктывкар|Сыктывкар|04.11.2020 1:18:00|04.11.2020 3:54:00|
